title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2023 Maruti Alto K10 VXI Plus,₹4.71 Lakh,"Kovilambakkam, Chennai",Jun 2023,Third Party,Petrol,5 Seats,"16,604 Kms",Chennai,First Owner,998 cc,Manual,2023,998 cc,65.71 bhp,,,24.39 kmpl,Petrol,,,,,,,,,,214 Litres,
2016 Tata Nano Twist XTA,₹1.50 Lakh,Chennai,2016,Expired,Petrol,5 Seats,"30,000 Kms",Chennai,Third Owner,624 cc,Automatic,2016,624 cc,37.5 bhp,,,25.4 kmpl,Petrol,,3099mm,,,,,,,,,
2021 Hyundai i20 Asta IVT DT,₹8.04 Lakh,"Vadapalani, Chennai",Jan 2021,Expired,Petrol,5 Seats,"40,358 Kms",Chennai,Second Owner,1197 cc,Automatic,2021,1197 cc,86.80 bhp,,,19.65 kmpl,Petrol,2,,,,,,,,,,
2021 Tata Altroz XE Diesel,₹6.50 Lakh,Chennai,2021,Expired,Diesel,5 Seats,"50,000 Kms",Periyakulam,First Owner,1497 cc,Manual,2021,1497 cc,88.77 bhp,,,23.03 kmpl,Diesel,2,,,,,,,,,,
2018 Toyota Innova Crysta 2.4 VX MT 8S BSIV,₹20.20 Lakh,Chennai,2018,Expired,Diesel,8 Seats,"40,000 Kms",Chennai,First Owner,2393 cc,Manual,2018,2393 cc,147.8 bhp,7,,,Diesel,7,,,,,,,,,,
2016 Renault KWID 1.0 RXT,₹3.45 Lakh,"Thygaraya Nagar, Chennai",Jan 2017,Expired,Petrol,5 Seats,"38,295 Kms",Chennai,First Owner,999 cc,Manual,2016,999 cc,67 bhp,,,23.01 kmpl,Petrol,1,,,,,,,,,,
2014 Fiat Linea T-Jet,₹3.95 Lakh,Chennai,2014,Expired,Petrol,5 Seats,"80,000 Kms",Chennai,First Owner,1368 cc,Manual,2014,1368 cc,112 bhp,,,14.6 kmpl,Petrol,,,,,,,,,,,
2014 Mercedes-Benz C-Class C 200 CGI Avantgarde,₹11.90 Lakh,"Paltra, Gurgaon",Mar 2014,Expired,Petrol,5 Seats,"75,000 Kms",New Delhi,First Owner,1796 cc,Automatic,2014,1796 cc,186 bhp,5,RWD,,Petrol,,,,230km/hr kmph,,,,,,,
2016 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹4.07 Lakh,"Vadapalani, Chennai",Jun 2016,Comprehensive,Petrol,5 Seats,"52,186 Kms",Chennai,First Owner,1197 cc,Manual,2016,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2016 Maruti Celerio ZXI AT,₹4.50 Lakh,"Ashoknagar, Chennai",Oct 2016,Comprehensive,Petrol,5 Seats,"40,000 Kms",Chennai,First Owner,998 cc,Automatic,2016,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,,3715mm,,,,,,,,,
2015 Maruti Swift Dzire VXI,₹4.12 Lakh,"Thiruverkadu, Chennai",Feb 2015,Comprehensive,Petrol,5 Seats,"98,685 Kms",Chennai,First Owner,1197 cc,Manual,2015,1197 cc,88.50 bhp,,,22.41 kmpl,Petrol,,,,,,,,,,378 Litres,3 Star
2019 Hyundai Creta 1.6 SX Automatic,₹9.82 Lakh,"Thiruverkadu, Chennai",Mar 2019,Expired,Petrol,5 Seats,"68,406 Kms",Chennai,First Owner,1591 cc,Automatic,2019,1591 cc,121.3 bhp,5,FWD,14.8 kmpl,Petrol,,,,,,,,,,,
2018 Volkswagen Polo 1.0 MPI Comfortline,₹4.97 Lakh,"Thiruverkadu, Chennai",Dec 2018,Zero Dep,Petrol,5 Seats,"93,319 Kms",Chennai,First Owner,999 cc,Manual,2018,999 cc,75.10 bhp,,,17.74 kmpl,Petrol,2,,,,,,,,,,
2018 Land Rover Discovery Sport SD4 HSE Luxury 7S,₹31.50 Lakh,"Thygaraya Nagar, Chennai",Aug 2018,Comprehensive,Diesel,7 Seats,"38,000 Kms",Chennai,Second Owner,2179 cc,Automatic,2018,2179 cc,187.7 bhp,,4WD,,Diesel,,,,188 kmph,,,,,,,
2022 Maruti Wagon R ZXI Plus BSVI,₹5.70 Lakh,"Vadapalani, Chennai",Oct 2022,Comprehensive,Petrol,5 Seats,"36,096 Kms",Poonamallee,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,,,23.56 kmpl,Petrol,2,,,,,,,,,,
2016 Hyundai Grand i10 Asta Option AT,₹4.47 Lakh,"Vadapalani, Chennai",Aug 2016,Comprehensive,Petrol,5 Seats,"33,014 Kms",Chennai,Second Owner,1197 cc,Automatic,2016,1197 cc,82 bhp,,,18.9 kmpl,Petrol,,3765mm,,,,,,,,,
2014 Ford Ecosport 1.5 DV5 MT Titanium Optional,₹5.75 Lakh,"Kovilambakkam, Chennai",Jun 2014,Comprehensive,Diesel,5 Seats,"79,000 Kms",Chennai,First Owner,1498 cc,Manual,2014,1498 cc,89.84 bhp,,FWD,22.7 kmpl,,,,200mm,,,,,,,,
2014 Hyundai i20 1.2 Asta Dual Tone,₹4.02 Lakh,"Airport, Chennai",Dec 2014,Comprehensive,Petrol,5 Seats,"93,490 Kms",Chennai,Third Owner,1197 cc,Manual,2014,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2018 Hyundai i20 1.2 Asta Option,₹5.80 Lakh,Chennai,2018,Expired,Petrol,5 Seats,"40,000 Kms",,Third Owner,1197 cc,Manual,2018,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.60 Lakh,"Vadapalani, Chennai",Nov 2018,Zero Dep,Petrol,5 Seats,"48,315 Kms",Chennai,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2022 Maruti Celerio ZXI AMT,₹6.10 Lakh,"Thygaraya Nagar, Chennai",Aug 2022,Comprehensive,Petrol,5 Seats,"12,000 Kms",Chennai,First Owner,998 cc,Automatic,2022,998 cc,65.71 bhp,,,26 kmpl,Petrol,,,,,,,,,,313 Litres,
2021 Honda City V MT,₹9.50 Lakh,"Kovilambakkam, Chennai",May 2021,Comprehensive,Petrol,5 Seats,"53,000 Kms",Tirunelveli,First Owner,1498 cc,Manual,2021,1498 cc,119.35 bhp,,,18.6 kmpl,Petrol,4,,,,,,,,,,
2015 Tata Zest Quadrajet 1.3 XMS,₹2.70 Lakh,Chennai,2015,Expired,Diesel,5 Seats,"80,000 Kms",Chennai,First Owner,1248 cc,Manual,2015,1248 cc,88.7 bhp,,,23 kmpl,Diesel,,,,,,,,,,,
2021 Hyundai i20 Asta 1.2,₹8.23 Lakh,"Vadapalani, Chennai",Jan 2021,Comprehensive,Petrol,5 Seats,"26,926 Kms",Chennai,First Owner,1197 cc,Manual,2021,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2018 Hyundai i20 1.4 Magna Executive,₹6.75 Lakh,"Kovilambakkam, Chennai",Jul 2018,Comprehensive,Diesel,5 Seats,"74,000 Kms",Chennai,First Owner,1396 cc,Manual,2018,1396 cc,88.73 bhp,,,22.54 kmpl,Diesel,,3985mm,,,,,,,,,
2022 Toyota Camry 2.5 Hybrid BSVI,₹34.75 Lakh,"Thygaraya Nagar, Chennai",Jul 2022,Comprehensive,Petrol,5 Seats,"40,000 Kms",Chennai,Second Owner,2487 cc,Automatic,2022,2487 cc,175.67 bhp,,,,Petrol,9,,,,,,,,,,
2015 Honda Jazz S,₹4.80 Lakh,"MEENAMBAKKAM, Chennai",Jul 2015,Comprehensive,Petrol,5 Seats,"46,985 Kms",Chennai,First Owner,1198 cc,Manual,2015,1198 cc,,,,16 kmpl,Petrol,,3900mm,,,,,,,,,
2015 Hyundai i20 Asta Option 1.4 CRDi,₹6.20 Lakh,"Anna Nagar, Chennai",Oct 2015,Comprehensive,Diesel,5 Seats,"40,000 Kms",Chennai,First Owner,1396 cc,Manual,2015,1396 cc,88.73 bhp,,,22.54 kmpl,Diesel,,3985mm,,,,,,,,,
2012 Honda City S,₹4 Lakh,Chennai,2012,Expired,Petrol,5 Seats,"80,000 Kms",Ranga reddy,Second Owner,1497 cc,Manual,2012,1497 cc,116.4 bhp,,,16.8 kmpl,Petrol,,,,,,,,,,,
2022 Maruti Swift Dzire VXI,₹6.49 Lakh,"Koyambedu, Chennai",Apr 2022,Comprehensive,Petrol,5 Seats,"45,000 Kms",Chennai,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,,,22.41 kmpl,Petrol,,,,,,,,,,378 Litres,3 Star
2021 Volkswagen Taigun 1.0 TSI Topline BSVI,₹12.50 Lakh,Chennai,2021,Expired,Petrol,5 Seats,"50,000 Kms",Chennai,First Owner,999 cc,Manual,2021,999 cc,113.98 bhp,5,,20.08 kmpl,Petrol,,,188,,,,,,,,
2020 Hyundai Venue SX Turbo BSIV,₹7.94 Lakh,"Thiruverkadu, Chennai",Nov 2020,Third Party,Petrol,5 Seats,"28,836 Kms",Chennai,First Owner,998 cc,Manual,2020,998 cc,118.35 bhp,,FWD,18.27 kmpl,Petrol,,,,,,,,,,,
2023 Maruti FRONX Delta Plus,₹8.90 Lakh,"Medavakkam, Chennai",Dec 2023,Comprehensive,Petrol,5 Seats,"24,000 Kms",Chennai,First Owner,1197 cc,Manual,2023,1197 cc,88.50 bhp,,FWD,21.79 kmpl,Petrol,,,,,,,,,,,
2009 Maruti Ritz VXI,₹2.30 Lakh,"MEENAMBAKKAM, Chennai",Sept 2009,Comprehensive,Petrol,5 Seats,"76,656 Kms",Dindigul,Second Owner,1197 cc,Manual,2009,1197 cc,85.80 bhp,,,21.1 kmpl,Petrol,,3715mm,,,,,,,,,
2024 Hyundai Venue SX Opt Turbo DT,₹14.50 Lakh,"Thygaraya Nagar, Chennai",Mar 2024,Comprehensive,Petrol,5 Seats,"3,200 Kms",Chennai,First Owner,998 cc,Manual,2024,998 cc,118 bhp,5,FWD,17.5 kmpl,Petrol,,,,,,,,,,,
2015 Hyundai i10 Sportz 1.1L,₹3.53 Lakh,"Ganapathipuram, Chennai",Apr 2015,Comprehensive,Petrol,5 Seats,"62,139 Kms",Chennai,First Owner,1086 cc,Manual,2015,1086 cc,68.05 bhp,,,19.81 kmpl,Petrol,,3585mm,,,,,,,,,
2022 Tata Punch Adventure BSVI,₹5.10 Lakh,"MEENAMBAKKAM, Chennai",Jun 2022,Comprehensive,Petrol,5 Seats,"32,148 Kms",TN97,Second Owner,1199 cc,Manual,2022,1199 cc,86.63 bhp,,,20.09 kmpl,Petrol,2,,,,,,,,,,
2021 Mercedes-Benz E-Class Exclusive E 220d BSVI,₹52 Lakh,"Kottivakkam, Chennai",Mar 2021,Comprehensive,Diesel,5 Seats,"54,000 Kms",Chennai,First Owner,1950 cc,Automatic,2021,1950 cc,191.76 bhp,,RWD,,Diesel,,,,240 kmph,,,,,,,
2021 Maruti S-Presso VXI AT 2019-2022,₹4.35 Lakh,"Thiruverkadu, Chennai",Dec 2021,Third Party,Petrol,5 Seats,"22,828 Kms",Chennai,First Owner,998 cc,Automatic,2021,998 cc,67.05 bhp,,,21.7 kmpl,Petrol,1,,,,,,,,,,
2019 Skoda Rapid 1.6 MPI Ambition BSIV,₹6.64 Lakh,"Ganapathipuram, Chennai",Nov 2019,Expired,Petrol,5 Seats,"74,027 Kms",Poonamallee,First Owner,1598 cc,Manual,2019,1598 cc,103.2 bhp,,,15.41 kmpl,Petrol,2,,,,,,,,,,
2022 Hyundai Creta SX Opt Diesel AT,₹17.75 Lakh,"Thygaraya Nagar, Chennai",Nov 2022,Comprehensive,Diesel,5 Seats,"23,000 Kms",Chennai,First Owner,1493 cc,Automatic,2022,1493 cc,113.45 bhp,5,2WD,14 kmpl,Diesel,,,,,,,,,,,
2023 Toyota Innova Hycross VX(O) 7STR Hybrid,₹31.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2023,Comprehensive,Petrol,7 Seats,"16,000 Kms",Chennai,First Owner,1987 cc,Automatic,2023,1987 cc,183.72 bhp,"7, 8",,,Petrol,6,,,,,,,,,,
2021 Hyundai i20 Asta IVT DT,₹8.39 Lakh,"Thiruverkadu, Chennai",Feb 2021,Comprehensive,Petrol,5 Seats,"16,878 Kms",Chennai,First Owner,1197 cc,Automatic,2021,1197 cc,86.80 bhp,,,19.65 kmpl,Petrol,2,,,,,,,,,,
2009 Hyundai i10 Magna 1.2,₹1.75 Lakh,Chennai,2009,Expired,Petrol,5 Seats,"40,000 Kms",Chennai,Third Owner,1197 cc,Manual,2009,1197 cc,78.9 bhp,,,20.36 kmpl,Petrol,,3585mm,,,,,,,,,
2020 Renault KWID Climber 1.0 MT Opt,₹3.81 Lakh,"Vadapalani, Chennai",Feb 2020,Comprehensive,Petrol,5 Seats,"41,942 Kms",Chennai,Third Owner,999 cc,Manual,2020,999 cc,67 bhp,,,21.74 kmpl,Petrol,2,,,,,,,,,,
2016 Honda City i VTEC SV,₹5.64 Lakh,"Vadapalani, Chennai",Jul 2016,Comprehensive,Petrol,5 Seats,"46,563 Kms",Chennai,First Owner,1497 cc,Manual,2016,1497 cc,117.3 bhp,,,17.8 kmpl,Petrol,,,,,,,,,,,
2022 Maruti Wagon R ZXI 1.2,₹5.68 Lakh,"Vadapalani, Chennai",Dec 2022,Comprehensive,Petrol,5 Seats,"25,033 Kms",Kanchipuram,First Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,,,20.52 kmpl,Petrol,2,,,,,,,,,,
2022 Tata Safari XT Plus BSVI,₹16.70 Lakh,"Anna Nagar, Chennai",Sept 2022,Comprehensive,Diesel,7 Seats,"39,000 Kms",Chennai,First Owner,1956 cc,Manual,2022,1956 cc,167.67 bhp,6,,16.14 kmpl,Diesel,2,,,,,,,,,,
2012 Hyundai i10 Sportz AT,₹3.75 Lakh,"Kottivakkam, Chennai",Mar 2012,Comprehensive,Petrol,5 Seats,"30,002 Kms",Chennai,First Owner,1197 cc,Automatic,2012,1197 cc,78.9 bhp,,,16.95 kmpl,Petrol,,3585mm,,,,,,,,,
2022 Mercedes-Benz E-Class Exclusive E 220d BSVI,₹59 Lakh,"Kottivakkam, Chennai",Jan 2023,Comprehensive,Diesel,5 Seats,"21,000 Kms",Pondicherry,First Owner,1950 cc,Automatic,2022,1950 cc,191.76 bhp,,RWD,,Diesel,,,,240 kmph,,,,,,,
2022 Kia Seltos HTK Plus AT D,₹16.25 Lakh,"Thygaraya Nagar, Chennai",Jun 2022,Comprehensive,Diesel,5 Seats,"20,000 Kms",Chennai,First Owner,1493 cc,Automatic,2022,1493 cc,113.42 bhp,5,2WD,17.8 kmpl,Diesel,,,,,,,,,,,
2016 Hyundai Creta 1.6 VTVT E Plus,₹7.50 Lakh,"Kovilambakkam, Chennai",Dec 2016,Comprehensive,Petrol,5 Seats,"88,000 Kms",Chennai,First Owner,1591 cc,Manual,2016,1591 cc,121.3 bhp,,FWD,15.29 kmpl,,,,190mm,,,,,,,,
2024 Honda Elevate ZX CVT,₹17.40 Lakh,Chennai,2024,Expired,Petrol,5 Seats,"10,000 Kms",,First Owner,1498 cc,Automatic,2024,1498 cc,119 bhp,5,FWD,16.92 kmpl,Petrol,,,,,,,,,,,
2022 Tata Tiago XZA Plus Dual Tone Roof AMT BSVI,₹6.50 Lakh,Chennai,2022,Expired,Petrol,5 Seats,"40,000 Kms",Chennai,First Owner,1199 cc,Automatic,2022,1199 cc,84.82 bhp,,,19 kmpl,Petrol,2,,,,,,,,,,
2023 Maruti Celerio VXI,₹5.49 Lakh,"Vadapalani, Chennai",Jan 2024,Comprehensive,Petrol,5 Seats,"6,672 Kms",Kanchipuram,First Owner,998 cc,Manual,2023,998 cc,67.05 bhp,,,21.63 kmpl,Petrol,1,,,,,,,,,,
2022 Hyundai i20 Asta Opt IVT,₹9.75 Lakh,"Thygaraya Nagar, Chennai",Aug 2022,Comprehensive,Petrol,5 Seats,"7,000 Kms",Chennai,First Owner,1197 cc,Automatic,2022,1197 cc,86.76 bhp,,,19.65 kmpl,Petrol,6,,,,,,,,,,3 Star
2013 Audi A4 New 2.0 TDI Multitronic,₹8.20 Lakh,"Chromepet, Chennai",Oct 2013,Comprehensive,Diesel,5 Seats,"88,297 Kms",Chennai,Third Owner,1968 cc,Automatic,2013,1968 cc,140.8 bhp,5,FWD,,Diesel,,,,210km/hr kmph,,,,,,,
2021 Mercedes-Benz GLS 400d 4MATIC BSVI,₹1.13 Crore,"Thygaraya Nagar, Chennai",Aug 2021,Comprehensive,Diesel,7 Seats,"52,000 Kms",Chennai,First Owner,2925 cc,Automatic,2021,2925 cc,325.86 bhp,,AWD,,Diesel,,,,238 kmph,,,,,,,
2019 Maruti Wagon R VXI 1.2,₹4.89 Lakh,"Vadapalani, Chennai",Mar 2019,Comprehensive,Petrol,5 Seats,"74,169 Kms",Chennai,First Owner,1197 cc,Manual,2019,1197 cc,81.80 bhp,,,20.52 kmpl,Petrol,1,,,,,,,,,,
2019 Hyundai Venue S Turbo DCT BSIV,₹7.14 Lakh,"Vadapalani, Chennai",Jul 2019,Expired,Petrol,5 Seats,"49,336 Kms",Chennai,First Owner,998 cc,Automatic,2019,998 cc,118.35 bhp,,FWD,18.15 kmpl,Petrol,,,,,,,,,,,
2015 Honda Amaze VX i-Vtech,₹4.10 Lakh,"Ganapathipuram, Chennai",Jan 2016,Comprehensive,Petrol,5 Seats,"98,327 Kms",Chennai,First Owner,1198 cc,Manual,2015,1198 cc,86.7 bhp,,,18 kmpl,Petrol,,,,,,,,,,,
2020 Hyundai Aura SX Plus AMT,₹5.14 Lakh,"Vadapalani, Chennai",Sept 2020,Comprehensive,Petrol,5 Seats,"67,223 Kms",Chennai,Second Owner,1197 cc,Automatic,2020,1197 cc,81.86 bhp,,,20.1 kmpl,Petrol,2,,,,,,,,,,
2020 Honda City V CVT,₹9.50 Lakh,"Chromepet, Chennai",Dec 2020,Comprehensive,Petrol,5 Seats,"52,400 Kms",Chennai,First Owner,1498 cc,Automatic,2020,1498 cc,119.35 bhp,,,18.3 kmpl,Petrol,4,,,,,,,,,,
2017 Honda Brio 1.2 S MT,₹3.93 Lakh,"Thiruverkadu, Chennai",Mar 2017,Comprehensive,Petrol,5 Seats,"59,618 Kms",Chennai,First Owner,1198 cc,Manual,2017,1198 cc,86.8 bhp,,,18.5 kmpl,Petrol,,3610mm,,,,,,,,,
2018 Maruti Swift VXI,₹5.25 Lakh,"MEENAMBAKKAM, Chennai",Jun 2018,Comprehensive,Petrol,5 Seats,"69,734 Kms",Chennai,First Owner,1197 cc,Manual,2018,1197 cc,85.8 bhp,,,18.6 kmpl,Petrol,,3850mm,,,,,,,,,
2023 Tata Tigor XZA Plus Leatherette Pack AMT,₹7.50 Lakh,Chennai,2023,Expired,Petrol,5 Seats,"8,000 Kms",,First Owner,1199 cc,Automatic,2023,1199 cc,84.82 bhp,,,19.6 kmpl,Petrol,,,,,,,,,,419 Litres,
2022 Tata Harrier XZA Plus AT BSVI,₹18.10 Lakh,"Anna Nagar West Extension, Chennai",Feb 2022,Comprehensive,Diesel,5 Seats,"80,000 Kms",Chennai,First Owner,1956 cc,Automatic,2022,1956 cc,167.67 bhp,5,,14.6 kmpl,Diesel,6,,,,,,,,,,
2018 Maruti Swift AMT ZXI Plus,₹5.60 Lakh,Chennai,2018,Expired,Petrol,5 Seats,"80,000 Kms",Chennai,First Owner,1197 cc,Automatic,2018,1197 cc,81.80 bhp,,,21.21 kmpl,Petrol,2,,,,,,,,,,
2019 Hyundai i20 Sportz Plus Dual Tone BSIV,₹6.45 Lakh,"Vadapalani, Chennai",Dec 2019,Zero Dep,Petrol,5 Seats,"48,830 Kms",Chennai,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,,,18.6 kmpl,Petrol,2,,,,,,,,,,
2017 Maruti S Cross Zeta,₹6.66 Lakh,"Vadapalani, Chennai",Aug 2017,Comprehensive,Petrol,5 Seats,"53,095 Kms",Poonamallee,First Owner,1462 cc,Manual,2017,1462 cc,103.25 bhp,,FWD,18.55 kmpl,Petrol,,,,,,,,,,,
2018 Hyundai Verna VTVT 1.6 SX,₹6.45 Lakh,"Thiruverkadu, Chennai",May 2018,Expired,Petrol,5 Seats,"84,528 Kms",Chennai,Second Owner,1591 cc,Manual,2018,1591 cc,121.3 bhp,,,17 kmpl,Petrol,2,,,,,,,,,,
2015 Toyota Innova 2.5 ZX Diesel 7 Seater,₹14.50 Lakh,Chennai,2015,Expired,Diesel,7 Seats,"80,000 Kms",Chennai,First Owner,2494 cc,Manual,2015,2494 cc,100.6 bhp,7,,,Diesel,,,,,,,,,,,
2016 Hyundai i20 Sportz 1.2,₹5.12 Lakh,"Ganapathipuram, Chennai",Dec 2016,Comprehensive,Petrol,5 Seats,"38,222 Kms",Chennai,First Owner,1197 cc,Manual,2016,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2014 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,₹32 Lakh,"Kottivakkam, Chennai",Oct 2014,Comprehensive,Diesel,7 Seats,"1,10,001 Kms",Chennai,First Owner,2987 cc,Automatic,2014,2987 cc,254.8 bhp,,AWD,,Diesel,,,,220 kmph,,,,,,,
2021 Audi Q5 Technology BSVI,₹39.90 Lakh,"Paltra, Gurgaon",Jan 2022,Expired,Petrol,5 Seats,"55,000 Kms",Pimpri chinchwad,First Owner,1984 cc,Automatic,2021,1984 cc,245.59 bhp,5,AWD,13.47 kmpl,Petrol,,,,,,,,,,,
2020 Maruti Ciaz Alpha AT,₹8.40 Lakh,"Thygaraya Nagar, Chennai",Nov 2020,Comprehensive,Petrol,5 Seats,"40,000 Kms",Poonamallee,First Owner,1462 cc,Automatic,2020,1462 cc,103.25 bhp,,,20.04 kmpl,Petrol,,,,,,,,,,510 Litres,
2016 Honda City 1.5 V MT Exclusive,₹6.90 Lakh,"MEENAMBAKKAM, Chennai",Jun 2016,Expired,Petrol,5 Seats,"50,276 Kms",Chennai,First Owner,1497 cc,Manual,2016,1497 cc,,,,17 kmpl,Petrol,,,,,,,,,,,
2014 Renault Pulse Petrol RxL,₹2.29 Lakh,"Vadapalani, Chennai",Nov 2014,Comprehensive,Petrol,5 Seats,"67,203 Kms",Chennai,Third Owner,1198 cc,Manual,2014,1198 cc,74.93 bhp,,,18.06 kmpl,Petrol,,3805mm,,,,,,,,,
2012 Maruti Alto K10 LXI,₹2.10 Lakh,"Vadapalani, Chennai",Jun 2012,Comprehensive,Petrol,5 Seats,"62,074 Kms",Chennai,First Owner,998 cc,Manual,2012,998 cc,67.05 bhp,,,23.95 kmpl,Petrol,1,,,,,,,,,,
2008 Maruti Alto 800 LXi BSIII,₹1 Lakh,Chennai,2008,Expired,Petrol,5 Seats,"70,000 Kms",Chennai,First Owner,796 cc,Manual,2008,796 cc,46.3 bhp,,,19.7 kmpl,Petrol,,3495mm,,,,,,,,,
2020 Kia Seltos HTK Plus D,₹12.95 Lakh,"Anna Nagar, Chennai",Aug 2020,Comprehensive,Diesel,5 Seats,"40,000 Kms",Chennai,First Owner,1493 cc,Manual,2020,1493 cc,113.43 bhp,5,FWD,20.8 kmpl,Diesel,,,,,,,,,,,
2014 Hyundai i10 Era LPG,₹2.80 Lakh,"Chromepet, Chennai",Jul 2014,Comprehensive,LPG,5 Seats,"60,235 Kms",Chennai,Second Owner,1086 cc,Manual,2014,1086 cc,68.1 bhp,,,19 km/kg,LPG,,3585mm,,,,,,,,,
2020 Hyundai Creta SX Opt Turbo BSVI,₹15 Lakh,"Medavakkam, Chennai",Jul 2020,Comprehensive,Petrol,5 Seats,"24,000 Kms",Chennai,First Owner,1353 cc,Automatic,2020,1353 cc,138.12 bhp,5,,11 kmpl,Petrol,6,,,,,,,,,,
2017 Hyundai i20 Active 1.2 SX with AVN,₹6 Lakh,Chennai,2017,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,,,17.19 kmpl,Petrol,,3995mm,,,,,,,,,
2017 Maruti Swift LXI Optional-O,₹5.45 Lakh,"Chromepet, Chennai",Mar 2017,Comprehensive,Petrol,5 Seats,"35,255 Kms",Chennai,First Owner,1197 cc,Manual,2017,1197 cc,83.11 bhp,,,20.4 kmpl,Petrol,,3840mm,,,,,,,,,
2018 Renault Duster Petrol RXS CVT,₹6.80 Lakh,"Thiruverkadu, Chennai",Jul 2018,Third Party,Petrol,5 Seats,"21,653 Kms",Chennai,Second Owner,1498 cc,Automatic,2018,1498 cc,104.5 bhp,,FWD,14.99 kmpl,,,,205mm,,,,,,,,
2013 Nissan Micra XV CVT,₹3.49 Lakh,"Thygaraya Nagar, Chennai",Nov 2013,Expired,Petrol,5 Seats,"48,251 Kms",Kanchipuram,Second Owner,1198 cc,Automatic,2013,1198 cc,76 bhp,,,19.34 kmpl,Petrol,,3825mm,,,,,,,,,
2019 Hyundai Santro Sportz AMT BSIV,₹4.22 Lakh,"Thiruverkadu, Chennai",Jun 2019,Comprehensive,Petrol,5 Seats,"31,807 Kms",Chennai,Second Owner,1086 cc,Automatic,2019,1086 cc,68 bhp,,,20.3 kmpl,Petrol,2,,,,,,,,,,
2023 MG Astor Sharp CVT BSVI,₹14.75 Lakh,"Thygaraya Nagar, Chennai",Aug 2023,Comprehensive,Petrol,5 Seats,"15,000 Kms",Chennai,First Owner,1498 cc,Automatic,2023,1498 cc,108.49 bhp,5,,14.82 kmpl,Petrol,6,,,,,,,,,,
2021 Toyota Fortuner Legender 4x4 AT BSVI,₹45 Lakh,Chennai,2021,Expired,Diesel,7 Seats,"20,000 Kms",Chengalpattu,Second Owner,2755 cc,Automatic,2021,2755 cc,201.15 bhp,7,4WD,8 kmpl,Diesel,,,,,,,,,,,
2023 Hyundai Exter SX,₹7.90 Lakh,"Anna Nagar West Extension, Chennai",Aug 2023,Comprehensive,Petrol,5 Seats,"8,000 Kms",Chennai,First Owner,1197 cc,Manual,2023,1197 cc,81.8 bhp,,FWD,19.4 kmpl,Petrol,,,,,,,,,,,
2014 Hyundai Xcent 1.1 CRDi SX,₹3.20 Lakh,Chennai,2014,Expired,Diesel,5 Seats,"1,50,000 Kms",Poonamallee,First Owner,1120 cc,Manual,2014,1120 cc,71 bhp,,,24.4 kmpl,Diesel,,,,,,,,,,,
2017 Honda City i VTEC CVT VX,₹6.25 Lakh,Chennai,2017,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,Second Owner,1497 cc,Automatic,2017,1497 cc,117.3 bhp,,,18 kmpl,Petrol,,,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹9 Lakh,Chennai,2017,Expired,Petrol,5 Seats,"70,000 Kms",Chennai,First Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,5,FWD,13 kmpl,,,,190mm,,,,,,,,
2019 Maruti Ciaz Petrol,₹8.69 Lakh,"Vadapalani, Chennai",Jun 2019,Comprehensive,Diesel,,"31,969 Kms",Chennai,First Owner,1248 cc,Manual,2019,1248 cc,88.5 bhp,,,,Diesel,,,,,,,,,,,
2022 Hyundai Grand i10 Nios Sportz,₹6 Lakh,Chennai,2022,Expired,Petrol,5 Seats,"20,000 Kms",Chennai,First Owner,1197 cc,Manual,2022,1197 cc,81.86 bhp,,,20.7 kmpl,Petrol,2,,,,,,,,,,
