title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2021 Renault KWID RXL,₹3.64 Lakh,"Gota, Ahmedabad",Nov 2021,Comprehensive,Petrol,5 Seats,"29,378 Kms",Bharuch,First Owner,799 cc,Manual,2021,799 cc,53.3 bhp,25.17 kmpl,Petrol,1,,,,,,,,,,,
2015 Renault Lodgy 110PS RxZ 7 Seater,₹5.25 Lakh,"Naranpura, Ahmedabad",Sept 2015,Third Party,Diesel,7 Seats,"72,000 Kms",Ahmedabad,First Owner,1461 cc,Manual,2015,1461 cc,108.5 bhp,19.98 kmpl,Diesel,,,7,,,,,,,,,
2015 Honda Amaze S i-Vtech,₹3.62 Lakh,"Naroda, Ahmedabad",Mar 2015,Third Party,Petrol,5 Seats,"98,850 Kms",Ahmedabad,First Owner,1198 cc,Manual,2015,1198 cc,86.7 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2020 Hyundai Creta S BSVI,₹9.90 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2020,Comprehensive,Petrol,5 Seats,"71,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2020,1497 cc,113.18 bhp,,Petrol,6,,5,,,,,,,,,
2015 Hyundai Grand i10 Magna,₹3.50 Lakh,"Sardarnagar, Ahmedabad",Mar 2015,Third Party,Petrol,5 Seats,"56,000 Kms",Surat,First Owner,1197 cc,Manual,2015,,,,,,,,,,,,,,,,
2016 Honda Jazz 1.2 SV i VTEC,₹4.25 Lakh,"Naranpura, Ahmedabad",Aug 2016,Third Party,Petrol,5 Seats,"62,000 Kms",Ahmedabad,Second Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,3955mm,,,,,,,,,,
2020 Kia Carnival Limousine,₹26.50 Lakh,"Naranpura, Ahmedabad",Oct 2020,Zero Dep,Diesel,7 Seats,"60,000 Kms",Ahmedabad,First Owner,2199 cc,Automatic,2020,2199 cc,197.26 bhp,,Diesel,6,,7,,,,,,,,,
2019 Skoda Rapid 1.6 MPI Ambition BSIV,₹5.87 Lakh,"Mumatpura, Ahmedabad",Sept 2019,Zero Dep,Petrol,5 Seats,"78,986 Kms",Ahmedabad,First Owner,1598 cc,Manual,2019,1598 cc,103.2 bhp,15.41 kmpl,Petrol,2,,,,,,,,,,,
2020 Maruti Alto 800 LXI,₹2.90 Lakh,"Mumatpura, Ahmedabad",Jan 2021,Comprehensive,Petrol,5 Seats,"82,410 Kms",Surat,First Owner,796 cc,Manual,2020,796 cc,47.33 bhp,22.05 kmpl,Petrol,1,,,,,,,,,,,
2016 Toyota Fortuner 2.8 2WD MT BSIV,₹14.75 Lakh,"Ghatlodia, Ahmedabad",Sept 2016,Comprehensive,Diesel,7 Seats,"95,000 Kms",Ahmedabad,Second Owner,2755 cc,Manual,2016,2755 cc,174.5 bhp,14.24 kmpl,,,,7,RWD,,220mm,,,,,,
2019 Hyundai Verna VTVT 1.4 E,₹7.15 Lakh,"Naranpura Vistar, Ahmedabad",Jun 2019,Comprehensive,Petrol,5 Seats,"75,000 Kms",Ahmedabad,First Owner,1368 cc,Manual,2019,1368 cc,98.6 bhp,19.1 kmpl,Petrol,2,,,,,,,,,,,
2017 Hyundai i20 Asta 1.2,₹5.75 Lakh,"Naranpura, Ahmedabad",May 2017,Third Party,Petrol,5 Seats,"76,000 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2017 Maruti Baleno 1.2 Alpha,₹4.25 Lakh,Ahmedabad,2017,Expired,Petrol,5 Seats,"60,000 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2017,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,3995mm,,,,,,,,,,
2015 Maruti Wagon R VXI 1.2,₹2.92 Lakh,"Gota, Ahmedabad",Nov 2015,Comprehensive,Petrol,5 Seats,"1,09,064 Kms",Vadodara,First Owner,1197 cc,Manual,2015,1197 cc,81.80 bhp,20.52 kmpl,Petrol,1,,,,,,,,,,,
2018 Maruti Baleno Zeta Diesel,₹5.65 Lakh,"Gota, Ahmedabad",Feb 2019,Comprehensive,Diesel,5 Seats,"37,435 Kms",Ahmedabad,First Owner,1248 cc,Manual,2018,1248 cc,74 bhp,27.39 kmpl,Diesel,2,,,,,,,,,,,
2020 Maruti Ciaz Alpha BSVI,₹7.25 Lakh,"Makarba, Ahmedabad",Nov 2020,Expired,Petrol,5 Seats,"89,000 Kms",Ahmedabad,First Owner,1462 cc,Manual,2020,1462 cc,103.25 bhp,20.65 kmpl,Petrol,2,,,,,,,,,,,
2016 Volkswagen Ameo 1.5 TDI Highline AT,₹2.50 Lakh,Ahmedabad,2016,Expired,Diesel,5 Seats,"1,50,000 Kms",Surat,Second Owner,1498 cc,Automatic,2016,,,,,,,,,,,,,,,,
2019 Tata Tiago XZA,₹4.46 Lakh,"Naroda, Ahmedabad",Apr 2019,Third Party,Petrol,5 Seats,"31,393 Kms",patan,First Owner,1199 cc,Automatic,2019,1199 cc,83.83 bhp,23.84 kmpl,Petrol,2,,,,,,,,,,,
2021 Hyundai Venue SX Turbo,₹7.14 Lakh,"Mumatpura, Ahmedabad",Mar 2021,Third Party,Petrol,5 Seats,"62,748 Kms",Navsari,Second Owner,998 cc,Manual,2021,998 cc,118.35 bhp,18.27 kmpl,Petrol,,,,FWD,,,,,,,,
2021 Tata Nexon XZ Plus DualTone Roof Diesel,₹7.50 Lakh,Ahmedabad,2021,Expired,Diesel,5 Seats,"60,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2021,,,,,,,,,,,,,,,,
2015 Honda Amaze S Diesel,₹3.50 Lakh,"Naroda, Ahmedabad",Jul 2015,Comprehensive,Diesel,5 Seats,"47,800 Kms",Ahmedabad,First Owner,1498 cc,Manual,2015,1498 cc,98.63 bhp,24.7 kmpl,Diesel,2,,,,,,,,,,,
